customer_id,campaign_name,currency_code,revenue,channel,event_id,clicked,converted,sent_at,opened_at,this_year,unix_time,company_name,business_details,catch_phrase,fake_sentence,product_id
0d5d3792-9e67-4a07-96b0-bc8025d59ca7,Multi-channeled fault-tolerant model,LAK,6221.41,SMS,CAMP-2426-JC,False,False,2024-07-14 20:16:46,2025-03-08 20:16:46,2026,646521851.366446,Lakatos Nagy Zrt.,syndicate efficient web services,Versatile local artificial intelligence,Nulla dolor accusantium eveniet quis quas sequi.,PROD-8953-Jk
8a0cf0bf-368c-4c1a-bfe3-0191a2c04ce0,Function-based systemic capability,TTD,43735.82,SMS,CAMP-0575-UB,True,False,2024-11-10 09:28:14,2025-07-18 09:28:14,2026,207573695.93371695,Horváth és Oláh Kft.,morph ubiquitous networks,Upgradable actuating hierarchy,Esse consectetur dolores facere at.,PROD-6730-Kv
acd3d26e-86b7-41c5-bc65-6b8982d494f2,Ergonomic homogeneous hub,FKP,2232.14,social,CAMP-8309-tv,True,False,2024-07-22 23:10:44,2025-01-16 23:10:44,2026,1062736469.0984789,Kovács Lukács Bt.,implement dot-com mindshare,Virtual multi-state initiative,Minus quo rerum ex porro corrupti tempora facilis.,PROD-8228-kT
11e78e77-9ba9-4301-b29e-189758d13aaf,Function-based motivating access,XAF,1535.12,social,CAMP-7604-rO,True,False,2024-09-05 02:35:22,2025-01-01 02:35:22,2026,1207770357.4628413,Katona Kft.,mesh killer eyeballs,Fully-configurable holistic database,Ipsa magni exercitationem.,PROD-8467-AO
e0321335-db67-42da-9b65-afbfd1920dd7,Assimilated transitional leverage,XAF,42206.72,SMS,CAMP-7810-xb,False,False,2024-09-04 06:37:00,2024-11-08 06:37:00,2026,330127441.67861056,Balogh és társa Nyrt.,strategize efficient vortals,Reactive directional matrices,Quasi nemo rerum labore corporis.,PROD-3531-Eu
212b1ee8-16f8-4cf3-9b61-98f5f5de8e56,Triple-buffered user-facing conglomeration,CUP,8750.19,email,CAMP-0705-gI,True,True,2024-09-28 13:17:15,2025-02-22 13:17:15,2026,529761993.5034903,Kocsis és Szalai Nyrt.,whiteboard granular mindshare,Total regional matrix,Modi itaque eius vitae aperiam.,PROD-4862-BC
cefdcd5b-017d-4ca6-b49e-9f5941842726,Seamless user-facing adapter,LSL,83193.55,social,CAMP-2958-aQ,False,False,2024-10-14 06:07:59,2025-07-17 06:07:59,2026,308065969.3798805,Katona és Budai Kkt.,embrace rich e-commerce,Function-based full-range definition,Nostrum explicabo et quisquam quod.,PROD-6419-zC
d7a3056c-8e73-4877-b343-67d265286d40,Synchronized static approach,BMD,29115.1,SMS,CAMP-4127-cr,False,True,2024-12-04 17:30:14,2025-11-15 17:30:14,2026,343740399.0198227,Szabó és társa Kkt.,implement scalable networks,Expanded grid-enabled support,Repellendus aperiam beatae quos saepe assumenda qui.,PROD-9722-rj
40de03a6-c75b-4715-b89b-fb064f3a5b0d,Profit-focused incremental conglomeration,ZMW,3242.96,social,CAMP-1579-Sf,False,False,2024-07-08 01:27:06,2024-07-20 01:27:06,2026,1440629734.7515845,Papp Katona Kkt.,architect extensible web services,Right-sized composite matrices,Illum aliquid occaecati quisquam ipsa possimus.,PROD-1804-aY
e35292e0-6ce8-4e19-a909-6b77ed789ac1,Customizable background contingency,BWP,10901.09,email,CAMP-2035-Df,False,False,2025-04-17 19:27:53,2025-05-04 19:27:53,2026,1334151373.8861701,Tóth Horváth Kft.,optimize open-source e-services,Organic value-added encoding,Recusandae minima id quia aut exercitationem.,PROD-4460-wp
4f5b9de5-a4f3-43de-ad53-4bb7846e7565,Synergized secondary core,CUP,2703.89,social,CAMP-2429-uA,True,True,2024-12-24 02:09:20,2025-08-26 02:09:20,2026,1608957350.609062,Szücs Nagy Bt.,synthesize real-time interfaces,Sharable tangible challenge,Consequatur occaecati quibusdam hic possimus recusandae numquam.,PROD-1192-TH
289c00dd-2d43-4240-8840-fbeb1c64582c,Exclusive context-sensitive frame,IRR,17888.28,push,CAMP-5955-XP,False,False,2025-03-01 09:34:28,2026-02-18 09:34:28,2026,1018540978.9793274,Molnár és Gulyás Kkt.,orchestrate bricks-and-clicks paradigms,Down-sized attitude-oriented help-desk,Quam sed officiis omnis nam similique.,PROD-7755-Ji
50ddc285-8f12-46cd-815c-6d4800691a3f,Self-enabling systemic concept,AZN,33440.83,SMS,CAMP-6543-vS,False,False,2024-12-24 04:57:02,2025-01-03 04:57:02,2026,1105632467.5288389,Székely Bt.,reinvent next-generation portals,Extended real-time hub,Labore maiores enim hic ipsum non.,PROD-0751-QY
50ddc285-8f12-46cd-815c-6d4800691a3f,User-friendly encompassing array,SRD,9713.75,push,CAMP-4018-QO,True,False,2025-03-04 20:15:34,2025-05-24 20:15:34,2026,1484368131.6178894,Rácz Kft.,target compelling relationships,Multi-layered asymmetric collaboration,Perspiciatis eius atque esse quos excepturi perferendis.,PROD-6498-lH
12bed947-02ee-48e1-b697-bd0adcce68fa,Persistent optimizing Graphic Interface,MRO,31704.39,email,CAMP-5150-kA,False,False,2024-06-08 04:49:44,2024-10-27 04:49:44,2026,1773190453.0791943,Papp Fehér Kkt.,maximize collaborative niches,Organic leadingedge Internet solution,Fugit eum tempore laboriosam facere esse.,PROD-9434-oX
bf3cb8a0-5c69-4538-a7a5-5c5787de1a7e,Stand-alone bandwidth-monitored contingency,MKD,8160.72,SMS,CAMP-0797-LK,False,False,2025-04-29 03:54:44,2025-11-26 03:54:44,2026,1447447240.0588324,Takács és társa Kkt.,synthesize sticky supply-chains,Open-source non-volatile conglomeration,Quas rerum eaque nostrum.,PROD-0763-th
4a86cfac-5887-46bd-9bd3-221169215481,Open-architected methodical encryption,INR,35406.3,push,CAMP-6403-WG,True,False,2024-11-27 02:02:34,2025-08-18 02:02:34,2026,867545218.0933615,Szabó és Oláh Bt.,embrace scalable web services,Business-focused bifurcated capability,Officia iure similique quisquam nostrum ea.,PROD-1487-il
386c92d5-a064-4ee4-9810-8948089540c6,Vision-oriented encompassing orchestration,NAD,2505.29,SMS,CAMP-4983-KW,True,True,2025-03-29 06:13:57,2025-11-01 06:13:57,2026,657394049.7269112,Hegedüs és Farkas Nyrt.,facilitate wireless portals,Customer-focused directional Graphical User Interface,Officia quasi laborum atque modi.,PROD-5739-Qu
